Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
497,1186,1758,1508,672,lean_forward,21,Male,65kg
498,1397,2002,1700,784,lean_forward,21,Male,65kg
499,1516,1535,1569,930,lean_forward,21,Male,65kg
500,1226,1390,1663,739,lean_forward,21,Male,65kg
501,1520,1629,1402,733,lean_backward,21,Male,65kg
502,896,822,2375,1289,lean_backward,21,Male,65kg
503,906,410,2462,1222,lean_backward,21,Male,65kg
504,925,558,2266,1063,lean_backward,21,Male,65kg
505,933,924,2253,1001,lean_backward,21,Male,65kg
506,949,980,2336,1203,lean_backward,21,Male,65kg
